e_no,c,k1,k2,k3,k4,ax,ay,az,bx,by,bz,pvol,m_g,m_c
29,0.0228,0.132,3.45,0.132,3.45,0.5200455538608127,0.0,0.8541385261827268,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
30,0.0228,0.132,3.45,0.132,3.45,0.5593528094322423,0.0,0.8289296921815852,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
31,0.0228,0.132,3.45,0.132,3.45,0.5965920157079552,0.0,0.8025446821165281,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
32,0.0228,0.132,3.45,0.132,3.45,0.6315293146312491,0.0,0.7753520005529003,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
33,0.0228,0.132,3.45,0.132,3.45,0.6638532446338247,0.0,0.7478628681711263,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
34,0.0228,0.132,3.45,0.132,3.45,0.6932750407441183,0.0,0.7206731005672691,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
35,0.0228,0.132,3.45,0.132,3.45,0.02249227613027822,0.0,0.999747016756979,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
36,0.0228,0.132,3.45,0.132,3.45,0.067662651271715,0.0,0.9977082567679203,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
37,0.0228,0.132,3.45,0.132,3.45,0.1132047101734948,0.0,0.993571685181565,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
38,0.0228,0.132,3.45,0.132,3.45,0.1591283607240728,0.0,0.9872579018743125,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
39,0.0228,0.132,3.45,0.132,3.45,0.20529900836774975,0.0,0.9786992986424474,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
40,0.0228,0.132,3.45,0.132,3.45,0.25150302155915477,0.0,0.9678565132015259,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
41,0.0228,0.132,3.45,0.132,3.45,0.2974974654168093,0.0,0.9547226079184332,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
42,0.0228,0.132,3.45,0.132,3.45,0.3430306170500328,0.0,0.939324222921071,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
43,0.0228,0.132,3.45,0.132,3.45,0.3878410615210264,0.0,0.921726266848376,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
44,0.0228,0.132,3.45,0.132,3.45,0.4316704269463609,0.0,0.9020313977351047,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
45,0.0228,0.132,3.45,0.132,3.45,0.47426263276896546,0.0,0.8803834137232763,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
46,0.0228,0.132,3.45,0.132,3.45,0.5153768187034659,0.0,0.8569636717755863,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
47,0.0228,0.132,3.45,0.132,3.45,0.5547991389827651,0.0,0.8319843240013495,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
48,0.0228,0.132,3.45,0.132,3.45,0.5923141218234526,0.0,0.8057071310895244,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
49,0.0228,0.132,3.45,0.132,3.45,0.6277468840421432,0.0,0.7784175290776667,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
50,0.0228,0.132,3.45,0.132,3.45,0.6610201630969371,0.0,0.7503681389686656,-0.0,1.0,0.0,1.0,1.0,1.0, 1.0
